대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율,지역구
운송업,렌터카,128282.0,0.1,230.0,0.2,중구
쇼핑업,면세점,71021502.0,40.9,209164.0,0.3,중구
여가서비스업,문화서비스,2065488.0,1.2,1423941.0,68.9,중구
운송업,수상운송,128282.0,0.1,128052.0,99.8,중구
식음료업,식음료,96366472.0,55.5,96366472.0,100.0,중구
여행업,여행업,50551.0,0.0,50551.0,100.0,중구
숙박업,콘도,4047741.0,2.3,1150.0,0.0,중구
숙박업,호텔,4047741.0,2.3,1174554.0,29.0,중구
여가서비스업,골프장,14136904.0,2.2,3232362.0,22.9,해운대구
쇼핑업,관광기념품,376916720.0,59.1,1133884.0,0.3,해운대구
여가서비스업,관광유원시설,14136904.0,2.2,3386489.0,24.0,해운대구
여가서비스업,기타레저,14136904.0,2.2,2187941.0,15.5,해운대구
숙박업,기타숙박,58896679.0,9.2,16629813.0,28.2,해운대구
쇼핑업,대형쇼핑몰,376916720.0,59.1,366742256.0,97.3,해운대구
쇼핑업,레저용품쇼핑,376916720.0,59.1,8752258.0,2.3,해운대구
운송업,렌터카,2542213.0,0.4,34051.0,1.3,해운대구
쇼핑업,면세점,376916720.0,59.1,288323.0,0.1,해운대구
여가서비스업,문화서비스,14136904.0,2.2,5330111.0,37.7,해운대구
운송업,수상운송,2542213.0,0.4,2507615.0,98.6,해운대구
식음료업,식음료,185452611.0,29.1,185452611.0,100.0,해운대구
여행업,여행업,106961.0,0.0,106961.0,100.0,해운대구
운송업,육상운송,2542213.0,0.4,547.0,0.0,해운대구
숙박업,캠핑장/펜션,58896679.0,9.2,12386.0,0.0,해운대구
숙박업,콘도,58896679.0,9.2,2593067.0,4.4,해운대구
숙박업,호텔,58896679.0,9.2,39661413.0,67.3,해운대구
