기준연월,방문자수
202201,1596726.0
202202,1426654.0
202203,1642281.0
202204,1615829.0
202205,1842718.0
202206,1732201.0
202207,1831063.0
202208,1843527.0
202209,1759729.0
202210,1755627.0
202211,1620548.0
202212,1571383.0
