기준연월,방문자수
202201,2034505.0
202202,1766350.0
202203,2278034.0
202204,2313942.0
202205,2389245.0
202206,2169256.0
202207,2282657.0
202208,2219898.0
202209,2540631.0
202210,2365833.0
202211,2207640.0
202212,2256647.0
