기준연월,방문자수
202201,1476477.0
202202,1282063.0
202203,1440510.0
202204,1478646.0
202205,1752337.0
202206,1585054.0
202207,1698916.0
202208,1710724.0
202209,1627074.0
202210,1664762.0
202211,1453829.0
202212,1504929.0
