기준연월,방문자수
202201,2849225.0
202202,2399100.0
202203,2601307.0
202204,2964305.0
202205,3421675.0
202206,3144246.0
202207,3616253.0
202208,3523780.0
202209,3074170.0
202210,3382750.0
202211,2885584.0
202212,3143156.0
