기준년월,광역지자체,중분류,지출액,전년도 지출액
202207,부산광역시,육상운송,15800.0,6076.0
202207,부산광역시,수상운송,240549.0,170784.0
202207,부산광역시,항공운송,7630584.0,1787564.0
202207,부산광역시,렌터카,169800.0,144115.0
202207,부산광역시,면세점,668947.0,113277.0
202207,부산광역시,관광기념품,358129.0,246535.0
202207,부산광역시,레저용품쇼핑,8248400.0,7133166.0
202207,부산광역시,대형쇼핑몰,9.7230841E7,7.9673604E7
202207,부산광역시,관광유원시설,1170791.0,512314.0
202207,부산광역시,골프장,6168926.0,5589403.0
202207,부산광역시,기타레저,2475391.0,1404045.0
202207,부산광역시,문화서비스,2177645.0,1149811.0
202207,부산광역시,식음료,1.37586949E8,9.3194211E7
202208,부산광역시,관광총소비,2.75989625E8,1.78795559E8
202208,부산광역시,호텔,7332486.0,4543145.0
202208,부산광역시,콘도,764524.0,444512.0
202208,부산광역시,캠핑장/펜션,27048.0,13907.0
202208,부산광역시,기타숙박,6339864.0,3810846.0
202208,부산광역시,여행업,108858.0,49680.0
202208,부산광역시,육상운송,15726.0,4491.0
202208,부산광역시,수상운송,315387.0,251779.0
202208,부산광역시,항공운송,6436535.0,1898974.0
202208,부산광역시,렌터카,181955.0,121585.0
202208,부산광역시,면세점,740208.0,101669.0
202208,부산광역시,관광기념품,421416.0,223703.0
202208,부산광역시,레저용품쇼핑,6755501.0,5839524.0
202208,부산광역시,대형쇼핑몰,9.5720596E7,7.4380876E7
202208,부산광역시,관광유원시설,1562010.0,512260.0
202208,부산광역시,골프장,6128789.0,5061560.0
202208,부산광역시,기타레저,2464402.0,1306220.0
202208,부산광역시,문화서비스,2253564.0,1100805.0
202208,부산광역시,식음료,1.38420758E8,7.9130022E7
202209,부산광역시,관광총소비,2.4977751E8,2.02661959E8
202209,부산광역시,콘도,550696.0,430695.0
202209,부산광역시,호텔,5068968.0,4191837.0
202209,부산광역시,캠핑장/펜션,13747.0,12748.0
202209,부산광역시,기타숙박,4098662.0,3410834.0
202209,부산광역시,여행업,120760.0,51658.0
202209,부산광역시,육상운송,13474.0,7199.0
202209,부산광역시,수상운송,185596.0,201989.0
202209,부산광역시,항공운송,5762648.0,2066108.0
202209,부산광역시,렌터카,126818.0,129233.0
202209,부산광역시,면세점,482785.0,143757.0
202209,부산광역시,관광기념품,276000.0,250701.0
202209,부산광역시,레저용품쇼핑,7819314.0,8749760.0
202209,부산광역시,대형쇼핑몰,9.5499612E7,8.4883337E7
202209,부산광역시,관광유원시설,1035354.0,405258.0
202209,부산광역시,골프장,6029779.0,5587213.0
202209,부산광역시,기타레저,2011821.0,1393987.0
202209,부산광역시,문화서비스,1517498.0,994021.0
202209,부산광역시,식음료,1.19163979E8,8.9751626E7
202210,부산광역시,관광총소비,2.84150256E8,2.30915665E8
202210,부산광역시,콘도,632328.0,528797.0
202210,부산광역시,호텔,5904082.0,4884692.0
202210,부산광역시,캠핑장/펜션,20829.0,11835.0
202210,부산광역시,기타숙박,4819201.0,4023611.0
202210,부산광역시,여행업,129404.0,129873.0
202210,부산광역시,육상운송,23394.0,13215.0
202210,부산광역시,수상운송,464323.0,338128.0
202210,부산광역시,항공운송,5821112.0,2856651.0
202210,부산광역시,렌터카,130512.0,145048.0
202210,부산광역시,면세점,755208.0,149474.0
202210,부산광역시,관광기념품,367735.0,285718.0
202210,부산광역시,레저용품쇼핑,1.1675872E7,1.0562255E7
202210,부산광역시,대형쇼핑몰,1.06939304E8,9.299267E7
202210,부산광역시,관광유원시설,1226114.0,543018.0
202210,부산광역시,골프장,6813052.0,6228225.0
202210,부산광역시,기타레저,2329359.0,1525726.0
202210,부산광역시,문화서비스,1197678.0,1020288.0
202210,부산광역시,식음료,1.3490075E8,1.04676441E8
202211,부산광역시,관광총소비,2.52586744E8,2.24181099E8
202211,부산광역시,콘도,534400.0,545959.0
202211,부산광역시,호텔,4881704.0,4618977.0
202211,부산광역시,캠핑장/펜션,8068.0,8520.0
202211,부산광역시,기타숙박,4076945.0,3889743.0
202211,부산광역시,여행업,207251.0,111929.0
202211,부산광역시,육상운송,18560.0,11585.0
202211,부산광역시,수상운송,274706.0,277828.0
202211,부산광역시,항공운송,6369661.0,2912558.0
202211,부산광역시,렌터카,107046.0,142197.0
202211,부산광역시,면세점,1252312.0,133242.0
202211,부산광역시,관광기념품,318519.0,295421.0
202211,부산광역시,레저용품쇼핑,9398680.0,9669933.0
202211,부산광역시,대형쇼핑몰,9.4717817E7,8.5689312E7
202211,부산광역시,관광유원시설,832253.0,544506.0
202211,부산광역시,골프장,5710743.0,5548287.0
202211,부산광역시,기타레저,1844465.0,1343263.0
202211,부산광역시,문화서비스,1048979.0,953225.0
202211,부산광역시,식음료,1.20984635E8,1.07484615E8
202212,부산광역시,관광총소비,2.76979117E8,2.1499367E8
202212,부산광역시,호텔,6173054.0,4740721.0
202212,부산광역시,콘도,599900.0,567560.0
202212,부산광역시,캠핑장/펜션,5192.0,6171.0
202212,부산광역시,기타숙박,4530226.0,4071596.0
202212,부산광역시,여행업,122895.0,113100.0
202212,부산광역시,육상운송,14156.0,8611.0
202212,부산광역시,수상운송,156637.0,121301.0
202212,부산광역시,항공운송,7170001.0,2417029.0
202212,부산광역시,렌터카,88446.0,111851.0
202212,부산광역시,면세점,1700584.0,172389.0
202212,부산광역시,관광기념품,334005.0,284130.0
202212,부산광역시,레저용품쇼핑,8667568.0,8161609.0
202212,부산광역시,대형쇼핑몰,1.0451441E8,9.0494539E7
202212,부산광역시,관광유원시설,769764.0,479821.0
202212,부산광역시,골프장,4330740.0,4628179.0
202212,부산광역시,기타레저,1841350.0,1177488.0
202212,부산광역시,문화서비스,1770447.0,836713.0
202212,부산광역시,식음료,1.34189742E8,9.6600862E7
