기준년월,광역지자체,중분류,지출액,전년도 지출액,지역구,광역지자체명,소비액,전년동기 소비액,전년대비 소비증감률,대분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율,기초지자체,기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
202204.0,부산광역시,관광기념품,335841.0,318122.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,레저용품쇼핑,10208226.0,8535785.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,대형쇼핑몰,96842795.0,79943831.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,관광유원시설,977950.0,396473.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,골프장,6126801.0,5352477.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,기타레저,2116743.0,1133340.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,문화서비스,804465.0,728978.0,부산시,,,,,,,,,,,,,
202204.0,부산광역시,식음료,115167392.0,84919994.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,관광총소비,277607623.0,214434040.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,콘도,609617.0,472844.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,호텔,5785770.0,4541460.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,캠핑장/펜션,12679.0,17748.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,기타숙박,4788785.0,3670727.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,여행업,172340.0,101646.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,육상운송,15092.0,9572.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,수상운송,333834.0,241180.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,항공운송,5869957.0,2572895.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,렌터카,150844.0,142744.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,면세점,245209.0,202078.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,관광기념품,367485.0,313711.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,레저용품쇼핑,10717069.0,9055899.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,대형쇼핑몰,101629488.0,89015481.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,관광유원시설,1214142.0,537121.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,골프장,6626270.0,5640438.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,기타레저,2499669.0,1370412.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,문화서비스,1926310.0,911060.0,부산시,,,,,,,,,,,,,
202205.0,부산광역시,식음료,134643063.0,95617024.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,관광총소비,267817242.0,207929692.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,호텔,6160445.0,4550456.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,콘도,594745.0,460803.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,캠핑장/펜션,11291.0,15250.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,기타숙박,4812055.0,3829946.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,여행업,149627.0,60130.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,육상운송,19158.0,10979.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,수상운송,264824.0,188821.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,항공운송,6640244.0,2526764.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,렌터카,157593.0,125785.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,면세점,357914.0,200852.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,관광기념품,341946.0,267851.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,레저용품쇼핑,8790286.0,7902428.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,대형쇼핑몰,98807774.0,80298822.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,관광유원시설,1031969.0,516933.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,골프장,6106939.0,5535687.0,부산시,,,,,,,,,,,,,
