기준년월,지자체,방문자 구분,방문자수
202209,광주광역시,외국인방문자(c),33371.0
202209,광주광역시,외부방문자(b+c),3014560.0
202209,대전광역시,외지인방문자(b),3631437.0
202209,대전광역시,외국인방문자(c),34772.0
202209,대전광역시,외부방문자(b+c),3666209.0
202209,울산광역시,외지인방문자(b),2484148.0
202209,울산광역시,외국인방문자(c),58293.0
202209,울산광역시,외부방문자(b+c),2542441.0
202209,세종특별자치시,외지인방문자(b),1653719.0
202209,세종특별자치시,외국인방문자(c),10643.0
202209,세종특별자치시,외부방문자(b+c),1664362.0
202209,경기도,외지인방문자(b),2.6820853E7
202209,경기도,외국인방문자(c),519190.0
202209,경기도,외부방문자(b+c),2.7340043E7
202209,강원도,외지인방문자(b),1.110477E7
202209,강원도,외국인방문자(c),58761.0
202209,강원도,외부방문자(b+c),1.1163531E7
202209,충청북도,외지인방문자(b),7036692.0
202209,충청북도,외국인방문자(c),73677.0
202209,충청북도,외부방문자(b+c),7110369.0
202209,충청남도,외지인방문자(b),1.1122475E7
202209,충청남도,외국인방문자(c),100736.0
202209,충청남도,외부방문자(b+c),1.122321E7
202209,전라북도,외지인방문자(b),6266907.0
202209,전라북도,외국인방문자(c),59710.0
202209,전라북도,외부방문자(b+c),6326618.0
202209,전라남도,외지인방문자(b),9103558.0
202209,전라남도,외국인방문자(c),100954.0
202209,전라남도,외부방문자(b+c),9204512.0
202209,경상북도,외지인방문자(b),1.2450418E7
202209,경상북도,외국인방문자(c),101145.0
202209,경상북도,외부방문자(b+c),1.2551563E7
202209,경상남도,외지인방문자(b),9771782.0
202209,경상남도,외국인방문자(c),133139.0
202209,경상남도,외부방문자(b+c),9904921.0
202209,제주특별자치도,외지인방문자(b),3940744.0
202209,제주특별자치도,외국인방문자(c),66077.0
202209,제주특별자치도,외부방문자(b+c),4006821.0
202210,서울특별시,외지인방문자(b),2.4153836E7
202210,서울특별시,외국인방문자(c),873808.0
202210,서울특별시,외부방문자(b+c),2.5027645E7
202210,부산광역시,외지인방문자(b),7258876.0
202210,부산광역시,외국인방문자(c),217129.0
202210,부산광역시,외부방문자(b+c),7476004.0
202210,대구광역시,외지인방문자(b),4610604.0
202210,대구광역시,외국인방문자(c),56802.0
202210,대구광역시,외부방문자(b+c),4667406.0
202210,인천광역시,외지인방문자(b),8665107.0
202210,인천광역시,외국인방문자(c),330994.0
202210,인천광역시,외부방문자(b+c),8996102.0
202210,광주광역시,외지인방문자(b),2706050.0
202210,광주광역시,외국인방문자(c),43609.0
202210,광주광역시,외부방문자(b+c),2749659.0
202210,대전광역시,외지인방문자(b),3610525.0
202210,대전광역시,외국인방문자(c),42951.0
202210,대전광역시,외부방문자(b+c),3653475.0
202210,울산광역시,외지인방문자(b),2748017.0
202210,울산광역시,외국인방문자(c),75441.0
202210,울산광역시,외부방문자(b+c),2823458.0
202210,세종특별자치시,외지인방문자(b),1732615.0
202210,세종특별자치시,외국인방문자(c),12250.0
202210,세종특별자치시,외부방문자(b+c),1744865.0
202210,경기도,외지인방문자(b),2.7925327E7
202210,경기도,외국인방문자(c),666851.0
202210,경기도,외부방문자(b+c),2.8592178E7
202210,강원도,외지인방문자(b),1.2986031E7
202210,강원도,외국인방문자(c),85157.0
202210,강원도,외부방문자(b+c),1.3071188E7
202210,충청북도,외지인방문자(b),7384574.0
202210,충청북도,외국인방문자(c),94593.0
202210,충청북도,외부방문자(b+c),7479167.0
202210,충청남도,외지인방문자(b),1.1763035E7
202210,충청남도,외국인방문자(c),129873.0
202210,충청남도,외부방문자(b+c),1.1892908E7
202210,전라북도,외지인방문자(b),6352192.0
202210,전라북도,외국인방문자(c),79297.0
202210,전라북도,외부방문자(b+c),6431489.0
202210,전라남도,외지인방문자(b),9118504.0
202210,전라남도,외국인방문자(c),136102.0
202210,전라남도,외부방문자(b+c),9254606.0
202210,경상북도,외지인방문자(b),1.2728536E7
202210,경상북도,외국인방문자(c),135673.0
202210,경상북도,외부방문자(b+c),1.2864209E7
202210,경상남도,외지인방문자(b),1.0317178E7
202210,경상남도,외국인방문자(c),180430.0
202210,경상남도,외부방문자(b+c),1.0497608E7
202210,제주특별자치도,외지인방문자(b),5115944.0
202210,제주특별자치도,외국인방문자(c),91384.0
202210,제주특별자치도,외부방문자(b+c),5207328.0
202211,서울특별시,외지인방문자(b),2.2007335E7
202211,서울특별시,외국인방문자(c),791751.0
202211,서울특별시,외부방문자(b+c),2.2799086E7
202211,부산광역시,외지인방문자(b),6316288.0
202211,부산광역시,외국인방문자(c),172245.0
202211,부산광역시,외부방문자(b+c),6488533.0
202211,대구광역시,외지인방문자(b),4234317.0
202211,대구광역시,외국인방문자(c),50074.0
202211,대구광역시,외부방문자(b+c),4284391.0
202211,인천광역시,외지인방문자(b),7402722.0
202211,인천광역시,외국인방문자(c),318809.0
202211,인천광역시,외부방문자(b+c),7721531.0
202211,광주광역시,외지인방문자(b),2428357.0
202211,광주광역시,외국인방문자(c),37846.0
202211,광주광역시,외부방문자(b+c),2466204.0
202211,대전광역시,외지인방문자(b),3212133.0
202211,대전광역시,외국인방문자(c),36308.0
202211,대전광역시,외부방문자(b+c),3248441.0
202211,울산광역시,외지인방문자(b),2161055.0
202211,울산광역시,외국인방문자(c),68434.0
202211,울산광역시,외부방문자(b+c),2229489.0
202211,세종특별자치시,외지인방문자(b),1506277.0
202211,세종특별자치시,외국인방문자(c),11515.0
202211,세종특별자치시,외부방문자(b+c),1517792.0
202211,경기도,외지인방문자(b),2.3563531E7
202211,경기도,외국인방문자(c),608397.0
202211,경기도,외부방문자(b+c),2.4171928E7
202211,강원도,외지인방문자(b),8600383.0
202211,강원도,외국인방문자(c),63081.0
202211,강원도,외부방문자(b+c),8663464.0
202211,충청북도,외지인방문자(b),6178437.0
202211,충청북도,외국인방문자(c),87406.0
202211,충청북도,외부방문자(b+c),6265843.0
202211,충청남도,외지인방문자(b),9112273.0
202211,충청남도,외국인방문자(c),118814.0
202211,충청남도,외부방문자(b+c),9231087.0
202211,전라북도,외지인방문자(b),5416823.0
202211,전라북도,외국인방문자(c),70737.0
202211,전라북도,외부방문자(b+c),5487560.0
