기준년월,지자체,방문자 구분,방문자수
202208,광주광역시,전체방문자(a+b+c),2.5400982E7
202208,대전광역시,현지인방문자(a),2.2953962E7
202208,대전광역시,외지인방문자(b),6363105.0
202208,대전광역시,외국인방문자(c),8847.0
202208,대전광역시,외부방문자(b+c),6371952.0
202208,대전광역시,전체방문자(a+b+c),2.9325915E7
202208,울산광역시,현지인방문자(a),1.7177566E7
202208,울산광역시,외지인방문자(b),4157220.0
202208,울산광역시,외국인방문자(c),12758.0
202208,울산광역시,외부방문자(b+c),4169978.0
202208,울산광역시,전체방문자(a+b+c),2.1347544E7
202208,세종특별자치시,현지인방문자(a),5395772.0
202208,세종특별자치시,외지인방문자(b),2212802.0
202208,세종특별자치시,외국인방문자(c),3010.0
202208,세종특별자치시,외부방문자(b+c),2215812.0
202208,세종특별자치시,전체방문자(a+b+c),7611583.0
202208,경기도,현지인방문자(a),2.00565638E8
202208,경기도,외지인방문자(b),5.2129088E7
202208,경기도,외국인방문자(c),135838.0
202208,경기도,외부방문자(b+c),5.2264925E7
202208,경기도,전체방문자(a+b+c),2.52830563E8
202208,강원도,현지인방문자(a),2.885001E7
202208,강원도,외지인방문자(b),1.7695688E7
202208,강원도,외국인방문자(c),18115.0
202208,강원도,외부방문자(b+c),1.7713804E7
202208,강원도,전체방문자(a+b+c),4.6563814E7
202208,충청북도,현지인방문자(a),2.551976E7
202208,충청북도,외지인방문자(b),1.0016114E7
202208,충청북도,외국인방문자(c),15932.0
202208,충청북도,외부방문자(b+c),1.0032047E7
202208,충청북도,전체방문자(a+b+c),3.5551807E7
202208,충청남도,현지인방문자(a),3.3460052E7
202208,충청남도,외지인방문자(b),1.4464933E7
202208,충청남도,외국인방문자(c),19946.0
202208,충청남도,외부방문자(b+c),1.4484879E7
202208,충청남도,전체방문자(a+b+c),4.7944931E7
202208,전라북도,현지인방문자(a),2.849666E7
202208,전라북도,외지인방문자(b),8601078.0
202208,전라북도,외국인방문자(c),11666.0
202208,전라북도,외부방문자(b+c),8612745.0
202208,전라북도,전체방문자(a+b+c),3.7109405E7
202208,전라남도,현지인방문자(a),2.6955124E7
202208,전라남도,외지인방문자(b),1.1887292E7
202208,전라남도,외국인방문자(c),22160.0
202208,전라남도,외부방문자(b+c),1.1909451E7
202208,전라남도,전체방문자(a+b+c),3.8864575E7
202208,경상북도,현지인방문자(a),4.130092E7
202208,경상북도,외지인방문자(b),1.709058E7
202208,경상북도,외국인방문자(c),26692.0
202208,경상북도,외부방문자(b+c),1.7117273E7
202208,경상북도,전체방문자(a+b+c),5.8418193E7
202208,경상남도,현지인방문자(a),5.0668496E7
202208,경상남도,외지인방문자(b),1.4251111E7
202208,경상남도,외국인방문자(c),31016.0
202208,경상남도,외부방문자(b+c),1.4282127E7
202208,경상남도,전체방문자(a+b+c),6.4950622E7
202208,제주특별자치도,현지인방문자(a),1.555617E7
202208,제주특별자치도,외지인방문자(b),6506731.0
202208,제주특별자치도,외국인방문자(c),17198.0
202208,제주특별자치도,외부방문자(b+c),6523929.0
202208,제주특별자치도,전체방문자(a+b+c),2.2080099E7
202209,서울특별시,현지인방문자(a),1.4683152E8
202209,서울특별시,외지인방문자(b),4.9772345E7
202209,서울특별시,외국인방문자(c),203329.0
202209,서울특별시,외부방문자(b+c),4.9975674E7
202209,서울특별시,전체방문자(a+b+c),1.96807195E8
202209,부산광역시,현지인방문자(a),4.7126328E7
202209,부산광역시,외지인방문자(b),1.2278746E7
202209,부산광역시,외국인방문자(c),22705.0
202209,부산광역시,외부방문자(b+c),1.230145E7
202209,부산광역시,전체방문자(a+b+c),5.9427778E7
202209,대구광역시,현지인방문자(a),3.7754336E7
202209,대구광역시,외지인방문자(b),8935346.0
202209,대구광역시,외국인방문자(c),6556.0
202209,대구광역시,외부방문자(b+c),8941902.0
202209,대구광역시,전체방문자(a+b+c),4.6696238E7
202209,인천광역시,현지인방문자(a),3.9418474E7
202209,인천광역시,외지인방문자(b),1.4614425E7
202209,인천광역시,외국인방문자(c),188006.0
202209,인천광역시,외부방문자(b+c),1.4802431E7
202209,인천광역시,전체방문자(a+b+c),5.4220904E7
202209,광주광역시,현지인방문자(a),2.2777436E7
202209,광주광역시,외지인방문자(b),5724212.0
202209,광주광역시,외국인방문자(c),4468.0
202209,광주광역시,외부방문자(b+c),5728679.0
202209,광주광역시,전체방문자(a+b+c),2.8506116E7
202209,대전광역시,현지인방문자(a),2.311799E7
202209,대전광역시,외지인방문자(b),7251888.0
202209,대전광역시,외국인방문자(c),7400.0
202209,대전광역시,외부방문자(b+c),7259288.0
202209,대전광역시,전체방문자(a+b+c),3.0377278E7
202209,울산광역시,현지인방문자(a),1.7172116E7
202209,울산광역시,외지인방문자(b),4108692.0
202209,울산광역시,외국인방문자(c),5836.0
202209,울산광역시,외부방문자(b+c),4114528.0
202209,울산광역시,전체방문자(a+b+c),2.1286645E7
202209,세종특별자치시,현지인방문자(a),5483016.0
202209,세종특별자치시,외지인방문자(b),2478486.0
202209,세종특별자치시,외국인방문자(c),2543.0
202209,세종특별자치시,외부방문자(b+c),2481029.0
202209,세종특별자치시,전체방문자(a+b+c),7964045.0
202209,경기도,현지인방문자(a),1.99048017E8
202209,경기도,외지인방문자(b),5.4915374E7
202209,경기도,외국인방문자(c),86908.0
202209,경기도,외부방문자(b+c),5.5002283E7
202209,경기도,전체방문자(a+b+c),2.540503E8
202209,강원도,현지인방문자(a),2.8592844E7
202209,강원도,외지인방문자(b),1.3292566E7
202209,강원도,외국인방문자(c),19472.0
202209,강원도,외부방문자(b+c),1.3312038E7
202209,강원도,전체방문자(a+b+c),4.1904882E7
202209,충청북도,현지인방문자(a),2.5746878E7
202209,충청북도,외지인방문자(b),1.0583706E7
202209,충청북도,외국인방문자(c),13508.0
202209,충청북도,외부방문자(b+c),1.0597214E7
202209,충청북도,전체방문자(a+b+c),3.6344092E7
202209,충청남도,현지인방문자(a),3.3783124E7
202209,충청남도,외지인방문자(b),1.582811E7
202209,충청남도,외국인방문자(c),14994.0
202209,충청남도,외부방문자(b+c),1.5843104E7
202209,충청남도,전체방문자(a+b+c),4.9626227E7
202209,전라북도,현지인방문자(a),3.150413E7
202209,전라북도,외지인방문자(b),9014960.0
202209,전라북도,외국인방문자(c),8876.0
202209,전라북도,외부방문자(b+c),9023837.0
202209,전라북도,전체방문자(a+b+c),4.0527967E7
202209,전라남도,현지인방문자(a),2.9982197E7
202209,전라남도,외지인방문자(b),1.186388E7
202209,전라남도,외국인방문자(c),7200.0
202209,전라남도,외부방문자(b+c),1.187108E7
202209,전라남도,전체방문자(a+b+c),4.1853277E7
202209,경상북도,현지인방문자(a),4.3832632E7
202209,경상북도,외지인방문자(b),1.6975298E7
202209,경상북도,외국인방문자(c),9167.0
202209,경상북도,외부방문자(b+c),1.6984465E7
202209,경상북도,전체방문자(a+b+c),6.0817096E7
202209,경상남도,현지인방문자(a),5.0997065E7
202209,경상남도,외지인방문자(b),1.358141E7
202209,경상남도,외국인방문자(c),11028.0
202209,경상남도,외부방문자(b+c),1.3592439E7
202209,경상남도,전체방문자(a+b+c),6.4589504E7
202209,제주특별자치도,현지인방문자(a),1.6575632E7
202209,제주특별자치도,외지인방문자(b),5045789.0
202209,제주특별자치도,외국인방문자(c),7383.0
202209,제주특별자치도,외부방문자(b+c),5053172.0
202209,제주특별자치도,전체방문자(a+b+c),2.1628805E7
202210,서울특별시,현지인방문자(a),1.49917764E8
202210,서울특별시,외지인방문자(b),5.0165734E7
202210,서울특별시,외국인방문자(c),263073.0
202210,서울특별시,외부방문자(b+c),5.0428808E7
202210,서울특별시,전체방문자(a+b+c),2.00346572E8
202210,부산광역시,현지인방문자(a),4.8795754E7
202210,부산광역시,외지인방문자(b),1.20136E7
202210,부산광역시,외국인방문자(c),33203.0
202210,부산광역시,외부방문자(b+c),1.2046802E7
202210,부산광역시,전체방문자(a+b+c),6.0842556E7
202210,대구광역시,현지인방문자(a),3.888676E7
202210,대구광역시,외지인방문자(b),8298854.0
202210,대구광역시,외국인방문자(c),7927.0
202210,대구광역시,외부방문자(b+c),8306781.0
202210,대구광역시,전체방문자(a+b+c),4.7193541E7
202210,인천광역시,현지인방문자(a),4.0475508E7
202210,인천광역시,외지인방문자(b),1.4407522E7
202210,인천광역시,외국인방문자(c),221398.0
202210,인천광역시,외부방문자(b+c),1.462892E7
202210,인천광역시,전체방문자(a+b+c),5.5104429E7
202210,광주광역시,현지인방문자(a),2.333002E7
202210,광주광역시,외지인방문자(b),5208298.0
202210,광주광역시,외국인방문자(c),3643.0
202210,광주광역시,외부방문자(b+c),5211940.0
202210,광주광역시,전체방문자(a+b+c),2.854196E7
202210,대전광역시,현지인방문자(a),2.38931E7
202210,대전광역시,외지인방문자(b),6649184.0
202210,대전광역시,외국인방문자(c),10086.0
202210,대전광역시,외부방문자(b+c),6659270.0
202210,대전광역시,전체방문자(a+b+c),3.055237E7
202210,울산광역시,현지인방문자(a),1.7562086E7
202210,울산광역시,외지인방문자(b),4411883.0
202210,울산광역시,외국인방문자(c),7780.0
202210,울산광역시,외부방문자(b+c),4419663.0
202210,울산광역시,전체방문자(a+b+c),2.198175E7
202210,세종특별자치시,현지인방문자(a),5687258.0
202210,세종특별자치시,외지인방문자(b),2395946.0
202210,세종특별자치시,외국인방문자(c),2399.0
202210,세종특별자치시,외부방문자(b+c),2398345.0
202210,세종특별자치시,전체방문자(a+b+c),8085604.0
202210,경기도,현지인방문자(a),2.04840937E8
202210,경기도,외지인방문자(b),5.5480089E7
202210,경기도,외국인방문자(c),108547.0
202210,경기도,외부방문자(b+c),5.5588636E7
202210,경기도,전체방문자(a+b+c),2.60429573E8
202210,강원도,현지인방문자(a),2.9595923E7
202210,강원도,외지인방문자(b),1.5159102E7
202210,강원도,외국인방문자(c),32241.0
202210,강원도,외부방문자(b+c),1.5191343E7
202210,강원도,전체방문자(a+b+c),4.4787266E7
202210,충청북도,현지인방문자(a),2.6404892E7
202210,충청북도,외지인방문자(b),1.053648E7
202210,충청북도,외국인방문자(c),16150.0
202210,충청북도,외부방문자(b+c),1.055263E7
202210,충청북도,전체방문자(a+b+c),3.6957523E7
202210,충청남도,현지인방문자(a),3.4936027E7
202210,충청남도,외지인방문자(b),1.5424031E7
202210,충청남도,외국인방문자(c),24855.0
202210,충청남도,외부방문자(b+c),1.5448886E7
202210,충청남도,전체방문자(a+b+c),5.0384913E7
202210,전라북도,현지인방문자(a),3.244198E7
202210,전라북도,외지인방문자(b),8732300.0
202210,전라북도,외국인방문자(c),9909.0
202210,전라북도,외부방문자(b+c),8742209.0
202210,전라북도,전체방문자(a+b+c),4.1184189E7
202210,전라남도,현지인방문자(a),3.092125E7
202210,전라남도,외지인방문자(b),1.1735633E7
202210,전라남도,외국인방문자(c),8704.0
202210,전라남도,외부방문자(b+c),1.1744337E7
202210,전라남도,전체방문자(a+b+c),4.2665587E7
202210,경상북도,현지인방문자(a),4.5815126E7
202210,경상북도,외지인방문자(b),1.6661022E7
202210,경상북도,외국인방문자(c),10319.0
202210,경상북도,외부방문자(b+c),1.6671341E7
202210,경상북도,전체방문자(a+b+c),6.2486467E7
202210,경상남도,현지인방문자(a),5.2532084E7
202210,경상남도,외지인방문자(b),1.4014399E7
202210,경상남도,외국인방문자(c),14251.0
202210,경상남도,외부방문자(b+c),1.402865E7
202210,경상남도,전체방문자(a+b+c),6.6560735E7
202210,제주특별자치도,현지인방문자(a),1.7432296E7
202210,제주특별자치도,외지인방문자(b),6094980.0
202210,제주특별자치도,외국인방문자(c),9778.0
202210,제주특별자치도,외부방문자(b+c),6104759.0
202210,제주특별자치도,전체방문자(a+b+c),2.3537055E7
202211,서울특별시,현지인방문자(a),1.49511582E8
202211,서울특별시,외지인방문자(b),4.7061364E7
202211,서울특별시,외국인방문자(c),233189.0
202211,서울특별시,외부방문자(b+c),4.7294553E7
202211,서울특별시,전체방문자(a+b+c),1.96806136E8
202211,부산광역시,현지인방문자(a),4.7855101E7
202211,부산광역시,외지인방문자(b),1.090174E7
202211,부산광역시,외국인방문자(c),25119.0
202211,부산광역시,외부방문자(b+c),1.092686E7
202211,부산광역시,전체방문자(a+b+c),5.8781961E7
202211,대구광역시,현지인방문자(a),3.8425212E7
202211,대구광역시,외지인방문자(b),7927122.0
202211,대구광역시,외국인방문자(c),7152.0
202211,대구광역시,외부방문자(b+c),7934274.0
202211,대구광역시,전체방문자(a+b+c),4.6359486E7
202211,인천광역시,현지인방문자(a),3.9893682E7
202211,인천광역시,외지인방문자(b),1.3095092E7
202211,인천광역시,외국인방문자(c),216123.0
202211,인천광역시,외부방문자(b+c),1.3311216E7
202211,인천광역시,전체방문자(a+b+c),5.3204898E7
202211,광주광역시,현지인방문자(a),2.3236504E7
202211,광주광역시,외지인방문자(b),4936614.0
202211,광주광역시,외국인방문자(c),3168.0
202211,광주광역시,외부방문자(b+c),4939782.0
202211,광주광역시,전체방문자(a+b+c),2.8176285E7
202211,대전광역시,현지인방문자(a),2.393868E7
202211,대전광역시,외지인방문자(b),6176208.0
202211,대전광역시,외국인방문자(c),6556.0
202211,대전광역시,외부방문자(b+c),6182764.0
202211,대전광역시,전체방문자(a+b+c),3.0121445E7
202211,울산광역시,현지인방문자(a),1.7278849E7
202211,울산광역시,외지인방문자(b),3741521.0
202211,울산광역시,외국인방문자(c),6438.0
202211,울산광역시,외부방문자(b+c),3747959.0
202211,울산광역시,전체방문자(a+b+c),2.1026808E7
202211,세종특별자치시,현지인방문자(a),5803574.0
202211,세종특별자치시,외지인방문자(b),2185176.0
202211,세종특별자치시,외국인방문자(c),2433.0
202211,세종특별자치시,외부방문자(b+c),2187609.0
202211,세종특별자치시,전체방문자(a+b+c),7991183.0
202211,경기도,현지인방문자(a),2.03066885E8
202211,경기도,외지인방문자(b),4.9986769E7
202211,경기도,외국인방문자(c),102186.0
202211,경기도,외부방문자(b+c),5.0088955E7
202211,경기도,전체방문자(a+b+c),2.5315584E8
202211,강원도,현지인방문자(a),2.939168E7
202211,강원도,외지인방문자(b),1.1238766E7
202211,강원도,외국인방문자(c),20211.0
202211,강원도,외부방문자(b+c),1.1258977E7
202211,강원도,전체방문자(a+b+c),4.0650657E7
202211,충청북도,현지인방문자(a),2.638755E7
202211,충청북도,외지인방문자(b),9121178.0
202211,충청북도,외국인방문자(c),13749.0
202211,충청북도,외부방문자(b+c),9134928.0
202211,충청북도,전체방문자(a+b+c),3.5522478E7
202211,충청남도,현지인방문자(a),3.5525718E7
202211,충청남도,외지인방문자(b),1.291066E7
202211,충청남도,외국인방문자(c),29925.0
202211,충청남도,외부방문자(b+c),1.2940585E7
202211,충청남도,전체방문자(a+b+c),4.8466302E7
202211,전라북도,현지인방문자(a),3.2299242E7
202211,전라북도,외지인방문자(b),7787248.0
202211,전라북도,외국인방문자(c),8548.0
202211,전라북도,외부방문자(b+c),7795796.0
202211,전라북도,전체방문자(a+b+c),4.0095039E7
202211,전라남도,현지인방문자(a),3.1017276E7
202211,전라남도,외지인방문자(b),9998443.0
202211,전라남도,외국인방문자(c),8505.0
202211,전라남도,외부방문자(b+c),1.0006948E7
202211,전라남도,전체방문자(a+b+c),4.1024224E7
202211,경상북도,현지인방문자(a),4.5466589E7
202211,경상북도,외지인방문자(b),1.4021455E7
202211,경상북도,외국인방문자(c),9498.0
202211,경상북도,외부방문자(b+c),1.4030953E7
202211,경상북도,전체방문자(a+b+c),5.9497542E7
202211,경상남도,현지인방문자(a),5.182717E7
202211,경상남도,외지인방문자(b),1.1906342E7
202211,경상남도,외국인방문자(c),13095.0
202211,경상남도,외부방문자(b+c),1.1919437E7
202211,경상남도,전체방문자(a+b+c),6.3746608E7
202211,제주특별자치도,현지인방문자(a),1.7170566E7
202211,제주특별자치도,외지인방문자(b),5252712.0
202211,제주특별자치도,외국인방문자(c),7742.0
202211,제주특별자치도,외부방문자(b+c),5260455.0
202211,제주특별자치도,전체방문자(a+b+c),2.2431021E7
202212,서울특별시,현지인방문자(a),1.48676031E8
202212,서울특별시,외지인방문자(b),4.808978E7
202212,서울특별시,외국인방문자(c),281622.0
202212,서울특별시,외부방문자(b+c),4.8371402E7
202212,서울특별시,전체방문자(a+b+c),1.97047433E8
202212,부산광역시,현지인방문자(a),4.8606142E7
202212,부산광역시,외지인방문자(b),1.2020771E7
202212,부산광역시,외국인방문자(c),24336.0
202212,부산광역시,외부방문자(b+c),1.2045107E7
202212,부산광역시,전체방문자(a+b+c),6.0651249E7
202212,대구광역시,현지인방문자(a),3.8402452E7
202212,대구광역시,외지인방문자(b),8367874.0
202212,대구광역시,외국인방문자(c),8352.0
202212,대구광역시,외부방문자(b+c),8376226.0
202212,대구광역시,전체방문자(a+b+c),4.6778677E7
202212,인천광역시,현지인방문자(a),4.059943E7
202212,인천광역시,외지인방문자(b),1.3403887E7
202212,인천광역시,외국인방문자(c),278301.0
202212,인천광역시,외부방문자(b+c),1.3682188E7
202212,인천광역시,전체방문자(a+b+c),5.4281618E7
202212,광주광역시,현지인방문자(a),2.31161E7
202212,광주광역시,외지인방문자(b),5044186.0
202212,광주광역시,외국인방문자(c),3283.0
202212,광주광역시,외부방문자(b+c),5047469.0
202212,광주광역시,전체방문자(a+b+c),2.8163569E7
202212,대전광역시,현지인방문자(a),2.3929682E7
202212,대전광역시,외지인방문자(b),6403439.0
202212,대전광역시,외국인방문자(c),7883.0
202212,대전광역시,외부방문자(b+c),6411322.0
202212,대전광역시,전체방문자(a+b+c),3.0341004E7
202212,울산광역시,현지인방문자(a),1.7570024E7
202212,울산광역시,외지인방문자(b),3828062.0
202212,울산광역시,외국인방문자(c),7136.0
202212,울산광역시,외부방문자(b+c),3835198.0
202212,울산광역시,전체방문자(a+b+c),2.1405222E7
202212,세종특별자치시,현지인방문자(a),5785689.0
202212,세종특별자치시,외지인방문자(b),2161842.0
202212,세종특별자치시,외국인방문자(c),2756.0
202212,세종특별자치시,외부방문자(b+c),2164598.0
202212,세종특별자치시,전체방문자(a+b+c),7950287.0
202212,경기도,현지인방문자(a),2.0392771E8
202212,경기도,외지인방문자(b),4.7868415E7
202212,경기도,외국인방문자(c),117518.0
202212,경기도,외부방문자(b+c),4.7985933E7
202212,경기도,전체방문자(a+b+c),2.51913643E8
202212,강원도,현지인방문자(a),2.8888293E7
202212,강원도,외지인방문자(b),1.0482426E7
202212,강원도,외국인방문자(c),31026.0
202212,강원도,외부방문자(b+c),1.0513452E7
202212,강원도,전체방문자(a+b+c),3.9401745E7
202212,충청북도,현지인방문자(a),2.5783961E7
202212,충청북도,외지인방문자(b),7625390.0
202212,충청북도,외국인방문자(c),15098.0
202212,충청북도,외부방문자(b+c),7640488.0
202212,충청북도,전체방문자(a+b+c),3.3424449E7
202212,충청남도,현지인방문자(a),3.5318626E7
202212,충청남도,외지인방문자(b),1.0997724E7
202212,충청남도,외국인방문자(c),26325.0
202212,충청남도,외부방문자(b+c),1.1024049E7
202212,충청남도,전체방문자(a+b+c),4.6342675E7
202212,전라북도,현지인방문자(a),3.1919237E7
202212,전라북도,외지인방문자(b),6480075.0
202212,전라북도,외국인방문자(c),8680.0
202212,전라북도,외부방문자(b+c),6488755.0
202212,전라북도,전체방문자(a+b+c),3.8407992E7
202212,전라남도,현지인방문자(a),3.0747822E7
202212,전라남도,외지인방문자(b),8592804.0
202212,전라남도,외국인방문자(c),8046.0
