,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
215,1107,1720,207753.585523172,449018.165377999,207853.585523172,448918.165377999,0,2,2,4,12,0,0,6,44,0.0,0.0,179.46,21,100.26,15,56,81,78,125,105,0.471042471042471,0.528957528957529,0.482678983833718,0.517321016166282,9.03770399,0,1,0,56.0,0,0,0,0,0,0,0.1497040167076931,0.13325174,0.0010210057327534,9.629249558308775e-06,0.13,0.0827972786437032,1,0,FP,3사분면
217,1113,1602,207553.585523172,449218.165377999,207653.585523172,449118.165377999,0,0,2,4,6,0,4,11,23,0.0,0.0,209.47,10,117.98,9,44,59,38,56,49,0.438709677419355,0.561290322580645,0.439330543933054,0.560669456066946,5.40866455,0,0,0,94.0,0,0,0,0,0,0,0.1546206550802139,0.009679399,0.0004004142669721,4.3321310874455993e-05,0.11,0.0549487580177624,1,0,FP,3사분면
221,1131,1617,207553.585523172,447718.165377999,207653.585523172,447618.165377999,0,0,0,1,0,0,0,0,3,0.0,0.0,0.0,0,542.5,2,99,105,102,67,68,0.467094703049759,0.532905296950241,0.467625899280576,0.532374100719424,10.869671015,0,0,0,0.0,0,0,0,0,0,0,0.2365487891344121,0.12744415,0.0164829228930223,0.0180241778100385,0.25,0.1297000075802265,1,0,FP,1사분면
222,1135,1629,207653.585523172,452318.165377999,207753.585523172,452218.165377999,0,0,0,1,3,0,0,0,36,0.0,0.0,210.28,13,117.13,23,85,99,79,110,90,0.537931034482759,0.462068965517241,0.528216704288939,0.471783295711061,10.1194369,0,0,0,103.0,0,0,0,0,0,0,0.349908088235294,0.05000203,0.0374798180539944,6.4007938792543785e-06,0.3,0.1474792676222877,1,0,FP,1사분면
223,1136,1638,207653.585523172,451418.165377999,207753.585523172,451318.165377999,1,8,5,16,8,0,0,3,29,306.720430107527,90.3870967741936,224.76,7,120.67,11,48,77,43,60,64,0.476454293628809,0.523545706371191,0.480836236933798,0.519163763066202,6.298477105,0,0,0,137.0,0,0,0,0,0,0,0.2528186274509802,0.009110503,6.178482753199109e-06,2.453633005493022e-07,0.25,0.1023871108391454,1,0,FP,4사분면
225,1143,1633,207653.585523172,451918.165377999,207753.585523172,451818.165377999,0,0,0,0,1,0,0,0,12,0.0,0.0,334.1,0,299.65,11,72,72,57,54,54,0.490610328638498,0.509389671361502,0.489655172413793,0.510344827586207,7.43255193,0,0,0,20.0,0,0,0,0,0,0,0.1716386554621848,0.0075834184,3.604892533691749e-05,0.0103171679483025,0.17,0.0719150581462389,1,0,FP,3사분면
228,1161,1663,207653.585523172,448918.165377999,207753.585523172,448818.165377999,0,0,0,0,0,0,0,3,45,0.0,0.0,184.18,32,105.99,12,65,72,69,131,89,0.433333333333333,0.566666666666667,0.4425,0.5575,8.89812555,0,0,0,37.0,0,0,0,0,0,0,0.1378625408496732,0.067029335,0.0007047736479934,1.642659278825216e-07,0.12,0.0651193626736669,1,0,FP,3사분면
229,1164,1658,207653.585523172,449418.165377999,207753.585523172,449318.165377999,0,0,0,3,1,0,0,4,51,0.0,0.0,136.64,48,75.52,2,67,72,39,78,50,0.469543147208122,0.530456852791878,0.484320557491289,0.515679442508711,6.87423817,0,0,0,70.0,0,0,0,0,0,0,0.2087392718235782,0.11925476,0.0021778129896131,0.0009877374465355,0.21,0.1082319165407782,1,0,FP,3사분면
235,1181,1547,207453.585523172,448918.165377999,207553.585523172,448818.165377999,5,6,1,3,5,0,2,13,39,0.0,0.0,193.22,22,105.03,5,40,60,47,100,80,0.481578947368421,0.518421052631579,0.487261146496815,0.512738853503185,6.6299759,0,0,0,98.0,0,0,0,0,0,0,0.1777197769351642,0.24462828,0.253368227343683,8.348903792427554e-06,0.19,0.1731449267167739,1,0,FP,3사분면
236,1182,1544,207453.585523172,449218.165377999,207553.585523172,449118.165377999,0,8,2,9,6,0,0,16,38,318.403225806452,285.532258064516,180.51,23,100.14,8,52,42,64,81,54,0.462162162162162,0.537837837837838,0.458041958041958,0.541958041958042,6.45550285,0,1,0,88.0,0,0,0,0,0,0,0.2074776785714286,0.0706289,8.259644579712878e-05,4.532066768181555e-07,0.22,0.0996379249159063,1,0,FP,3사분면
244,1208,1581,207553.585523172,451318.165377999,207653.585523172,451218.165377999,1,0,2,6,4,0,0,4,30,0.0,0.0,241.48,11,130.93,16,86,96,49,76,57,0.4796573875803,0.5203426124197,0.457831325301205,0.542168674698795,8.147891435,0,0,0,115.0,0,0,0,0,0,0,0.1307384506833036,0.059416812,0.0016869520419445,0.0003781315498439,0.1,0.0584440692376687,1,0,FP,3사분면
245,1213,1590,207553.585523172,450418.165377999,207653.585523172,450318.165377999,0,1,0,1,3,0,0,0,40,0.0,0.0,207.38,29,121.58,9,69,53,98,127,93,0.446327683615819,0.553672316384181,0.434782608695652,0.565217391304348,9.264518955,0,1,0,38.0,0,0,0,0,0,0,0.2360941834867918,0.11101465,0.0005489523636452,4.499280324159882e-05,0.29,0.1275405555851287,1,0,FP,4사분면
246,1216,1589,207553.585523172,450518.165377999,207653.585523172,450418.165377999,0,2,0,0,2,0,0,0,29,0.0,0.0,266.21,14,131.48,14,46,32,77,101,52,0.461340206185567,0.538659793814433,0.442953020134228,0.557046979865772,6.76955434,0,0,0,313.0,0,0,0,0,0,0,0.1683487124357939,0.035867766,0.0022780620103427,9.231020923242472e-09,0.18,0.0772989098446005,1,0,FP,3사분면
247,1217,1586,207553.585523172,450818.165377999,207653.585523172,450718.165377999,0,0,0,1,4,0,0,4,41,0.0,0.0,201.18,21,116.5,16,75,112,103,105,93,0.482594936708861,0.517405063291139,0.483193277310924,0.516806722689076,11.02669676,0,0,0,77.0,0,0,0,0,0,0,0.2664323115609881,0.41214305,0.2049397789784013,0.0505469837025193,0.24,0.2348124251732413,1,0,FP,1사분면
248,1219,1584,207553.585523172,451018.165377999,207653.585523172,450918.165377999,0,0,0,0,1,0,0,0,41,0.0,0.0,210.2,23,114.36,15,101,103,109,112,90,0.461538461538462,0.538461538461538,0.462626262626263,0.537373737373737,11.567563215,0,0,0,226.0,0,0,0,0,0,0,0.3505633135607184,0.24509586,0.0015771302025101,7.021023865767234e-06,0.34,0.1874486657450852,1,0,FP,1사분면
249,1237,1486,207353.585523172,449218.165377999,207453.585523172,449118.165377999,0,7,4,7,3,0,1,13,18,0.0,0.0,364.03,3,193.64,8,34,72,41,56,61,0.476923076923077,0.523076923076923,0.475471698113208,0.524528301886792,5.670374125,1,0,0,151.0,0,0,0,0,0,0,0.1948602825972316,0.16734698,0.0019064681379566,0.0024191204199252,0.12,0.0973065710606278,1,0,FP,3사분면
250,1238,1487,207353.585523172,449118.165377999,207453.585523172,449018.165377999,1,2,3,7,6,0,2,5,26,155.283154121864,166.534050179212,230.87,10,140.24,7,26,50,59,147,132,0.451882845188284,0.548117154811715,0.449029126213592,0.550970873786408,8.33981179,0,0,0,211.0,0,0,0,0,0,0,0.1686956897538889,0.0113663,0.0005866506606695,8.340545291301875e-05,0.12,0.0601464092304668,1,0,FP,3사분면
251,1239,1484,207353.585523172,449418.165377999,207453.585523172,449318.165377999,0,1,1,6,3,0,0,3,46,0.0,0.0,177.45,34,91.5,3,53,42,66,63,48,0.485795454545454,0.514204545454545,0.525096525096525,0.474903474903475,6.14145136,0,0,0,203.0,0,0,0,0,0,0,0.1226158247389865,0.03327458,0.0032519054901887,0.0008359644103357,0.11,0.0539956548865451,1,0,FP,3사분면
