,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
299,1445,1318,207053.585523172,448618.165377999,207153.585523172,448518.165377999,0,0,1,4,4,0,0,6,28,0.0,0.0,233.6,13,110.02,14,53,58,54,77,85,0.477941176470588,0.522058823529412,0.466453674121406,0.533546325878594,7.11850044,0,2,0,86.0,0,0,0,0,0,0,0.1614056133817163,0.38034943,0.0322307617592298,0.0014292576173299,0.12,0.13908301204398,1,0,FP,3사분면
300,1454,1327,207053.585523172,447718.165377999,207153.585523172,447618.165377999,0,0,0,4,0,0,0,0,14,0.0,0.0,427.93,1,215.15,13,134,116,95,102,80,0.463788300835655,0.536211699164345,0.473790322580645,0.526209677419355,12.52716499,0,1,0,51.0,0,0,0,0,0,0,0.2541271336320906,0.0694532,0.0143873790533808,0.0002473010914048,0.27,0.1216430031929782,1,0,FP,1사분면
301,1456,1325,207053.585523172,447918.165377999,207153.585523172,447818.165377999,0,1,0,3,1,0,0,0,45,0.0,0.0,171.09,28,99.64,14,125,118,94,82,74,0.498427672955975,0.501572327044025,0.514285714285714,0.485714285714286,11.09648598,0,1,0,80.0,0,0,0,0,0,0,0.1771983793517406,0.010202402,8.348385257834851e-05,9.122533011625385e-06,0.18,0.0734986775972618,1,0,FP,2사분면
302,1470,1340,207153.585523172,452218.165377999,207253.585523172,452118.165377999,0,0,0,2,2,0,0,0,61,0.0,0.0,111.0,51,63.83,3,84,92,52,72,69,0.488322717622081,0.511677282377919,0.497058823529412,0.502941176470588,8.217680655,0,0,0,116.0,0,0,0,0,0,0,0.1892652894491129,0.043318182,0.0001625294622693,0.0044056663799394,0.18,0.0834303335042635,1,0,FP,3사분면
303,1472,1338,207153.585523172,452418.165377999,207253.585523172,452318.165377999,0,0,1,4,12,0,1,3,43,0.0,0.0,192.54,29,95.76,5,78,63,54,73,40,0.512626262626263,0.487373737373737,0.533807829181495,0.466192170818505,6.90913278,0,1,0,114.0,0,0,0,0,0,0,0.1456066745599276,0.05214902,0.0003335417759246,5.791522627944213e-05,0.23,0.0856294303395068,1,0,FP,4사분면
305,1490,1239,206953.585523172,450718.165377999,207053.585523172,450618.165377999,2,2,2,11,8,0,0,19,38,0.0,0.0,189.01,28,100.68,2,29,38,49,109,114,0.473684210526316,0.526315789473684,0.48948948948949,0.510510510510511,6.961474695,6,0,0,227.0,0,0,0,0,0,0,0.1248993347338935,0.027235698,0.0220448462869905,2.5848857509287785e-07,0.1,0.0548360274928704,1,0,FP,3사분면
309,1503,1240,206953.585523172,450618.165377999,207053.585523172,450518.165377999,0,0,0,2,2,0,0,0,59,0.0,0.0,135.95,48,76.81,11,67,67,66,137,122,0.426258992805755,0.573741007194245,0.434090909090909,0.565909090909091,9.70070158,0,0,0,0.0,0,0,0,0,0,0,0.2130996148459383,0.029346753,0.0003420486479448,4.1392428791223215e-10,0.27,0.1025576833639227,1,0,FP,4사분면
312,1517,1258,206953.585523172,448818.165377999,207053.585523172,448718.165377999,0,0,1,4,2,0,0,3,37,0.0,0.0,202.68,20,107.28,6,50,64,53,96,101,0.513452914798206,0.486547085201794,0.524861878453039,0.475138121546961,7.78149803,0,0,0,34.0,0,0,0,0,0,0,0.1440350239008293,0.41111284,0.1390615784989831,0.0252835249310112,0.13,0.1698985944549648,1,0,FP,3사분면
314,1524,1269,206953.585523172,447718.165377999,207053.585523172,447618.165377999,0,0,0,0,2,0,0,0,9,0.0,0.0,436.86,3,574.46,6,97,114,107,90,85,0.523809523809524,0.476190476190476,0.501061571125265,0.498938428874735,11.72458896,0,0,0,90.0,0,0,0,0,0,0,0.287116163079652,0.28912842,0.1067864517761074,0.0004778706586332,0.34,0.2047017816503028,1,0,FP,1사분면
315,1527,1264,206953.585523172,448218.165377999,207053.585523172,448118.165377999,1,0,2,2,0,0,0,0,51,0.0,0.0,143.12,39,80.77,8,68,64,76,56,57,0.45346062052506,0.54653937947494,0.476510067114094,0.523489932885906,7.310420795,0,0,0,84.0,0,0,0,0,0,0,0.1913370662436097,0.1420188,0.1178085429398645,8.408531846733195e-07,0.28,0.1462330490100173,1,0,FP,4사분면
316,1551,1172,206853.585523172,451618.165377999,206953.585523172,451518.165377999,0,1,0,4,1,0,0,6,44,107.467741935484,96.5483870967742,147.73,32,78.05,4,48,47,35,54,30,0.545150501672241,0.454849498327759,0.595,0.405,5.216744195,0,0,0,162.0,0,0,0,0,0,0,0.1430486732736573,0.011589143,0.0010764214469774,1.3338112072986256e-06,0.11,0.0531431143914136,1,0,FP,3사분면
317,1555,1168,206853.585523172,452018.165377999,206953.585523172,451918.165377999,0,0,0,0,4,0,0,0,15,40.258064516129,106.483870967742,404.1,5,215.95,3,59,59,52,68,50,0.491935483870968,0.508064516129032,0.487972508591065,0.512027491408935,6.49039746,0,0,0,61.0,0,0,0,0,0,0,0.2521901901004304,0.10898975,0.2597315556415356,0.0064570700183194,0.22,0.169473713717872,1,0,FP,3사분면
319,1558,1183,206853.585523172,450518.165377999,206953.585523172,450418.165377999,0,0,1,2,8,0,1,6,25,0.0,0.0,360.02,12,163.4,9,38,37,56,95,49,0.451428571428571,0.548571428571429,0.47191011235955,0.528089887640449,6.10655675,0,0,0,96.0,0,0,0,0,0,0,0.156667144670302,0.18233167,0.0831885507270809,0.0004794109486629,0.19,0.1225333545392821,1,0,FP,3사분면
320,1561,1178,206853.585523172,451018.165377999,206953.585523172,450918.165377999,1,0,2,4,8,0,1,4,15,0.0,0.0,426.79,3,203.02,1,17,20,32,173,202,0.266811279826464,0.733188720173536,0.259681093394078,0.740318906605923,8.043207605,0,0,0,81.0,0,0,0,0,0,0,0.2268382352941176,0.07809066,0.0079115387049543,1.4019028572266036e-07,0.26,0.1145681148926772,1,0,FP,4사분면
322,1564,1177,206853.585523172,451118.165377999,206953.585523172,451018.165377999,0,0,3,3,2,0,0,5,35,126.774193548387,76.4731182795699,177.96,22,97.69,11,53,38,40,93,65,0.46685878962536,0.53314121037464,0.462686567164179,0.537313432835821,6.054214835,0,0,0,350.0,0,0,0,0,0,0,0.1263562634530656,0.022243086,0.0023780303678806,7.189670399646963e-06,0.1,0.0501969139479964,1,0,FP,3사분면
324,1571,1184,206853.585523172,450418.165377999,206953.585523172,450318.165377999,0,0,0,1,1,0,0,0,30,0.0,0.0,328.99,22,160.41,7,46,55,74,126,111,0.503006012024048,0.496993987975952,0.496221662468514,0.503778337531486,8.706205195,0,0,0,0.0,0,0,0,0,0,0,0.149890581232493,0.067300804,0.0017168226591538,1.62307168458753e-05,0.17,0.0777848877135724,1,0,FP,3사분면
326,1593,1210,206853.585523172,447818.165377999,206953.585523172,447718.165377999,0,0,0,0,1,0,0,1,15,0.0,0.0,5314.99,6,165.26,3,78,75,82,97,56,0.492929292929293,0.507070707070707,0.510810810810811,0.489189189189189,8.636415975,0,0,0,278.0,0,0,0,0,0,0,0.1904227204300177,0.09844029,0.0002376437814828,0.0001024343197756,0.22,0.1018406176057303,1,0,FP,3사분면
329,1603,1088,206653.585523172,448418.165377999,206753.585523172,448318.165377999,0,3,0,2,2,0,0,3,11,254.935483870968,232.774193548387,294.55,5,185.31,4,49,42,68,87,34,0.460055096418733,0.539944903581267,0.428571428571428,0.571428571428571,6.333371715,0,0,0,94.0,0,0,0,0,0,0,0.1558216581572982,0.0062436108,0.000159970139041,7.175638480240981e-05,0.18,0.0684593990871501,1,0,FP,3사분면
332,1629,1124,206753.585523172,450618.165377999,206853.585523172,450518.165377999,0,0,1,6,0,0,0,0,33,0.0,0.0,193.62,26,105.19,2,35,50,45,72,72,0.502958579881657,0.497041420118343,0.494464944649447,0.505535055350554,5.89718909,0,0,0,70.0,0,0,0,0,0,0,0.1427507027772298,0.15371528,0.066325298040415,0.0009428149840383,0.17,0.1067468196960574,1,0,FP,3사분면
333,1631,1122,206753.585523172,450818.165377999,206853.585523172,450718.165377999,0,1,0,3,2,0,0,0,52,168.129032258065,94.1935483870968,151.76,41,83.08,4,60,46,56,134,129,0.486868686868687,0.513131313131313,0.481481481481482,0.518518518518519,8.636415975,0,0,0,35.0,0,0,0,0,0,0,0.1246379233511586,0.023576615,0.0006221326357024,1.9522097675390585e-07,0.14,0.0577673733172197,1,0,FP,3사분면
334,1632,1123,206753.585523172,450718.165377999,206853.585523172,450618.165377999,0,1,0,9,4,0,0,9,42,0.0,0.0,184.27,31,92.13,2,46,35,41,51,62,0.457792207792208,0.542207792207792,0.474885844748858,0.525114155251142,5.37376994,0,0,0,29.0,0,0,0,0,0,0,0.1336550245098039,0.10849872,0.1311947472751527,0.0004599196285644,0.2,0.1147616827456711,1,0,FP,3사분면
340,1651,1150,206753.585523172,448018.165377999,206853.585523172,447918.165377999,0,1,4,6,5,0,0,3,47,0.0,0.0,153.51,38,89.07,8,99,116,80,74,70,0.463687150837989,0.536312849162011,0.449519230769231,0.550480769230769,9.369202785,0,0,0,140.0,0,0,0,0,0,0,0.1640165441176471,0.015110398,3.572796672143885e-05,1.8653399621433545e-07,0.18,0.0718325712659521,1,0,FP,3사분면
343,1660,1031,206553.585523172,448318.165377999,206653.585523172,448218.165377999,0,6,3,3,2,0,4,4,10,175.854838709677,2.48387096774194,564.44,2,309.92,3,74,113,132,187,90,0.476067270375162,0.523932729624838,0.472361809045226,0.527638190954774,13.486766765,0,0,0,0.0,0,0,0,0,0,0,0.2062106092436974,0.034473795,0.0002180846996297,2.8125688578477333e-08,0.27,0.1021805035025578,1,0,FP,1사분면
344,1663,1026,206553.585523172,448818.165377999,206653.585523172,448718.165377999,0,3,3,12,4,0,0,13,28,202.928961748634,75.1420765027322,245.61,21,111.73,1,56,51,44,47,77,0.530487804878049,0.469512195121951,0.511627906976744,0.488372093023256,5.72271604,0,0,0,0.0,0,0,0,0,0,0,0.2401694485811202,0.041095022,0.0061400293494934,4.351687644985897e-06,0.23,0.1034817703460779,1,0,FP,4사분면
349,1700,1068,206653.585523172,450418.165377999,206753.585523172,450318.165377999,0,0,0,0,0,0,0,2,23,0.0,0.0,387.25,9,187.34,11,42,51,46,79,121,0.4625,0.5375,0.466666666666667,0.533333333333333,6.978922,0,0,0,117.0,0,0,0,0,0,0,0.2709847303701355,0.41791767,0.5588414977855406,4.5707664036592813e-07,0.29,0.3075488708103488,1,0,FP,4사분면
350,1702,1066,206653.585523172,450618.165377999,206753.585523172,450518.165377999,5,0,4,15,13,0,0,10,39,81.8172043010753,141.849462365591,193.8,26,110.97,8,58,64,67,77,75,0.449172576832151,0.550827423167849,0.450310559006211,0.549689440993789,7.380210015,0,0,0,115.0,0,0,0,0,0,0,0.1770220588235294,0.07614185,0.001885587015593,5.838600338012062e-06,0.15,0.081011066719931,1,0,FP,3사분면
351,1730,974,206453.585523172,448218.165377999,206553.585523172,448118.165377999,0,0,0,2,1,0,0,0,23,0.0,0.0,166.38,15,111.44,4,71,78,108,88,48,0.462385321100918,0.537614678899083,0.471052631578947,0.528947368421053,9.508781225,0,0,0,60.0,0,0,0,0,0,0,0.1739039140054417,0.25892588,0.3647162748881673,0.0195368007387263,0.16,0.1954165749188834,1,0,FP,3사분면
352,1732,972,206453.585523172,448418.165377999,206553.585523172,448318.165377999,0,0,0,0,3,0,0,1,3,0.0,0.0,0.0,0,532.67,3,111,111,105,77,75,0.499236641221374,0.500763358778626,0.489177489177489,0.510822510822511,11.427984775,0,0,0,0.0,0,0,0,0,0,0,0.2270220588235293,0.07254886,0.0030071745127728,7.833644871580713e-07,0.17,0.0945157751044362,1,0,FP,2사분면
353,1733,973,206453.585523172,448318.165377999,206553.585523172,448218.165377999,0,2,0,2,1,0,0,0,2,207.41935483871,175.89247311828,0.0,0,902.79,2,98,127,160,129,83,0.476355247981545,0.523644752018454,0.490848585690516,0.509151414309484,15.126813435,0,0,0,0.0,0,0,0,0,0,0,0.2525516456582634,0.016803158,4.832105135789461e-05,2.2639110757844723e-09,0.22,0.0978806254841357,1,0,FP,2사분면
354,1734,970,206453.585523172,448618.165377999,206553.585523172,448518.165377999,0,0,0,1,1,0,0,0,2,0.0,0.0,423.0,0,2161.24,1,97,133,150,159,92,0.462668298653611,0.537331701346389,0.457142857142857,0.542857142857143,14.254448185,0,0,0,0.0,0,0,0,0,0,0,0.1586223140572017,0.030790886,0.000274466768916,2.9630029265600108e-05,0.18,0.073943459353155,1,0,FP,2사분면
356,1737,969,206453.585523172,448718.165377999,206553.585523172,448618.165377999,1,3,11,8,2,0,0,2,5,0.0,0.0,0.0,2,494.16,2,116,147,101,86,113,0.448767833981842,0.551232166018158,0.447415329768271,0.552584670231729,13.451872155,0,0,0,0.0,0,0,0,0,0,0,0.2829241071428572,0.044313744,0.0449480770859486,3.114347174591885e-08,0.23,0.1204371918165591,1,0,FP,1사분면
357,1744,976,206453.585523172,448018.165377999,206553.585523172,447918.165377999,0,2,0,3,4,0,0,4,25,0.0,0.0,238.02,13,147.17,6,52,51,41,47,41,0.570491803278689,0.429508196721312,0.581818181818182,0.418181818181818,5.321428025,0,0,0,124.0,0,0,0,0,0,0,0.1201450892857143,0.030625608,0.0001767774382037,0.0111609498196334,0.15,0.0624216848723833,1,0,FP,3사분면
361,1776,1010,206553.585523172,450418.165377999,206653.585523172,450318.165377999,0,0,0,3,3,0,1,11,26,0.0,0.0,174.67,23,96.71,3,46,66,48,49,57,0.470948012232416,0.529051987767584,0.5,0.5,5.705268735,0,0,0,14.0,0,0,0,0,0,0,0.1237991295217182,0.53810614,0.016567098890718,0.0106994754056159,0.12,0.1618343694585262,1,0,FP,3사분면
362,1779,1009,206553.585523172,450518.165377999,206653.585523172,450418.165377999,0,4,0,4,4,0,1,10,55,72.6881720430108,95.2795698924731,152.67,50,81.74,4,82,59,81,83,86,0.505725190839695,0.494274809160305,0.523287671232877,0.476712328767123,9.14238782,0,0,0,0.0,0,0,0,0,0,0,0.1507549894957983,0.020970158,0.0002843406501008,2.4835385997387586e-08,0.16,0.0664019026520454,1,0,FP,3사분면
363,1787,1017,206553.585523172,449718.165377999,206653.585523172,449618.165377999,0,0,1,0,4,0,0,9,16,288.903225806452,116.763440860215,520.79,12,173.85,1,21,16,31,93,183,0.439024390243902,0.560975609756098,0.433628318584071,0.566371681415929,6.438055545,0,0,0,125.0,0,0,0,0,0,0,0.1670737044817927,0.008014457,3.351582966095236e-05,2.693444203632854e-09,0.14,0.0630243360610406,1,0,FP,3사분면
364,1791,901,206353.585523172,449718.165377999,206453.585523172,449618.165377999,0,0,2,3,2,0,0,2,38,0.0,0.0,202.46,15,107.01,10,28,34,37,161,496,0.449238578680203,0.550761421319797,0.450928381962865,0.549071618037135,13.74847634,0,0,0,32.0,0,0,0,0,0,0,0.2255438456829273,0.10353622,0.0082411299578444,1.4449530098601508e-06,0.2,0.1074645277997103,1,0,FP,2사분면
365,1796,910,206353.585523172,448818.165377999,206453.585523172,448718.165377999,0,0,1,1,9,0,0,12,1,0.0,0.0,0.0,0,2112.75,1,207,210,164,135,138,0.459574468085106,0.540425531914894,0.438356164383562,0.561643835616438,20.500583375,0,0,0,0.0,0,0,0,0,0,0,0.3030688316993464,0.1219248,0.0005528396215494,7.423370105439537e-08,0.25,0.1351093096431078,1,0,FP,1사분면
370,1838,949,206453.585523172,450718.165377999,206553.585523172,450618.165377999,0,2,1,2,6,0,0,1,56,0.0,0.0,139.13,48,70.36,5,59,83,66,85,92,0.527494908350306,0.472505091649695,0.549479166666667,0.450520833333333,8.566626755,0,2,0,0.0,0,0,0,0,0,0,0.1738489145658263,0.04728407,0.0001991244355493,2.7779894569046963e-09,0.23,0.0902664224363497,1,0,FP,4사분면
376,1856,837,206253.585523172,450318.165377999,206353.585523172,450218.165377999,1,2,1,10,6,0,0,12,34,110.032258064516,121.817204301075,307.79,22,98.96,3,59,61,61,50,26,0.543175487465181,0.456824512534819,0.586065573770492,0.413934426229508,6.263582495,0,1,0,0.0,0,0,0,0,0,0,0.2457241979678921,0.14313035,0.0290131652174599,2.41512811222412e-06,0.25,0.1335740250892294,1,0,FP,4사분면
378,1865,842,206253.585523172,449818.165377999,206353.585523172,449718.165377999,1,4,3,9,18,0,1,43,10,161.541935483871,109.438709677419,1155.4,1,443.34,3,42,43,68,207,373,0.382541720154044,0.617458279845956,0.37344398340249,0.62655601659751,13.591450595,1,0,0,40.0,0,0,0,0,0,0,0.2902879901960785,0.066609286,0.0014471250670824,6.507144112509126e-06,0.36,0.143670181635824,1,0,FP,1사분면
379,1869,854,206253.585523172,448618.165377999,206353.585523172,448518.165377999,0,6,1,2,3,0,0,4,2,0.0,0.0,0.0,0,4326.46,2,105,91,95,64,60,0.47108843537415,0.52891156462585,0.468030690537084,0.531969309462916,10.25901534,0,0,0,0.0,0,0,0,0,0,0,0.2610447303921569,0.062073354,0.0023732328461672,3.202302685554606e-06,0.21,0.1070989038437995,1,0,FP,2사분면
380,1870,855,206253.585523172,448518.165377999,206353.585523172,448418.165377999,0,0,0,1,0,0,0,1,5,0.0,0.0,19880.0,0,3501.89,4,73,102,104,103,76,0.454991816693944,0.545008183306056,0.455555555555555,0.544444444444445,10.660303355,0,0,0,0.0,0,0,0,0,0,0,0.4013349089635853,0.4950037,0.5924473111393784,0.7148385794423426,0.29,0.4987248999603307,1,0,FP,1사분면
382,1872,853,206253.585523172,448718.165377999,206353.585523172,448618.165377999,0,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0,1518.8,1,161,182,138,92,119,0.459227467811159,0.540772532188841,0.45398773006135,0.54601226993865,16.26088826,0,0,0,0.0,0,0,0,0,0,0,0.2245951505602241,0.052228164,0.0003599632023015,9.966247814823572e-06,0.23,0.1014386487876268,1,0,FP,1사분면
387,1882,859,206253.585523172,448118.165377999,206353.585523172,448018.165377999,0,4,1,3,3,0,0,1,11,0.0,0.0,282.17,3,263.69,6,136,125,117,121,75,0.491823899371069,0.508176100628931,0.494525547445256,0.505474452554745,13.870607475,0,0,0,0.0,0,0,0,0,0,0,0.2770074696545284,0.072847195,0.0021521768018851,0.0001792125914721,0.26,0.1224372108035079,1,0,FP,1사분면
392,1909,895,206353.585523172,450318.165377999,206453.585523172,450218.165377999,0,1,0,9,0,0,0,1,8,0.0,0.0,1232.84,4,211.22,4,69,76,64,68,44,0.479028697571744,0.520971302428256,0.49,0.51,7.903629165,0,0,0,0.0,0,0,0,0,0,0,0.188010693267334,0.105165385,0.0502391677773401,0.0037757855810529,0.2,0.1094382062671124,1,0,FP,3사분면
393,1915,890,206353.585523172,450818.165377999,206453.585523172,450718.165377999,1,0,1,8,8,0,0,11,39,0.0,0.0,173.2,25,89.96,3,45,36,61,57,30,0.517123287671233,0.482876712328767,0.525114155251142,0.474885844748858,5.09461306,0,1,0,0.0,0,0,0,0,0,0,0.2017005436352862,0.16788839,0.2777028414977726,0.0001475656598495,0.17,0.163487867766118,1,0,FP,3사분면
395,1925,780,206153.585523172,450218.165377999,206253.585523172,450118.165377999,1,0,0,3,4,0,0,3,62,0.0,0.0,146.21,53,70.9,4,74,76,63,76,118,0.50281425891182,0.49718574108818,0.528795811518325,0.471204188481675,9.299413565,0,2,0,0.0,0,0,0,0,0,0,0.1666923303412274,0.07216426,0.004693918171568,5.357092477383237e-07,0.1,0.0687102088146044,1,0,FP,3사분면
