충전소,x,y,count,fast_count,slow_count
서울광진구 YM프라젠스파아파트,37.5309022,127.0840991,5,0.0,5.0
서울광진리버힐오피스텔,37.5499559,127.1102071,2,0.0,2.0
서울광진워커힐푸르지오101동,37.5496376,127.1088694,5,0.0,5.0
서울광진트라팰리스A주차장,37.531869,127.068723,3,0.0,3.0
서울광진트라팰리스B주차장,37.531869,127.068723,3,0.0,3.0
서울사 광진구 그랜드워커힐서울,37.5551679,127.1114168,6,2.0,4.0
서울시 광장동 주민센터,37.5468598,127.1030947,1,0.0,1.0
서울시 광진구 강변SK뷰아파트,37.538653,127.0901794,5,0.0,5.0
서울시 광진구 거주자전용주차장,37.5538742,127.0766202,1,0.0,1.0
서울시 광진구 광장동금호베스트빌,37.5443273,127.0863479,5,0.0,5.0
서울시 광진구 광진소방서,37.5448236,127.0828901,2,0.0,2.0
서울시 광진구 광진켐퍼스시티,37.5478090999999,127.0678505,1,0.0,1.0
서울시 광진구 구의제1동주민센터,37.5424529,127.0856498,1,0.0,1.0
서울시 광진구 군자동주민센터,37.5555338,127.0754533,2,1.0,1.0
서울시 광진구 긴고랑길공영P,37.5615888,127.0880792,1,0.0,1.0
서울시 광진구 동부여성발전센터,37.5394146,127.066734,1,0.0,1.0
서울시 광진구 동서울길공영P,37.5333093,127.0912841,2,0.0,2.0
서울시 광진구 송림식당길공영P,37.5366898,127.0764847,1,0.0,1.0
서울시 광진구 어린이대공원,37.5495886,127.081578,3,2.0,1.0
서울시 광진구 에이치에비뉴건대점,37.5451546,127.0709141,1,0.0,1.0
서울시 광진구 자양대동아파트,37.5369393,127.0680919,5,0.0,5.0
서울시 광진구 자양문화체육센터,37.5293839,127.0775297,2,2.0,0.0
서울시 광진구 자양유수지P,37.5293839,127.0775297,1,0.0,1.0
서울시 광진구 자양현대6차아파트,37.5328453,127.071659,4,0.0,4.0
서울시 광진구 중곡동SK아파트,37.5688959,127.0864699,5,0.0,5.0
서울시 광진구 중곡동복개천P,37.56151,127.083265,2,0.0,2.0
서울시 광진구 행복제2거주자P,37.5397718,127.0663546,1,0.0,1.0
서울시 광진구 현대리버빌아파트,37.5492801,127.1098702,1,0.0,1.0
서울시 구의3동 주민센터,37.5380043,127.0919649,1,0.0,1.0
서울시 극동하이빌 A동,37.5547376,127.0740657,1,0.0,1.0
서울시 능동 주민센터,37.5537658,127.0805496,1,0.0,1.0
서울시 이튼타워리버3차 입주자대표회의,37.5329888,127.0680604,9,0.0,9.0
서울시 자양1동 주민센터,37.53452,127.0824025,1,0.0,1.0
서울시 자양2동 주민센터,37.5288513,127.084505,1,0.0,1.0
서울시 자양3동 주민센터,37.5338049,127.0728563,1,0.0,1.0
서울시 자양4동 주민센터,37.5341158,127.0662593,1,0.0,1.0
서울시 중곡1동 주민센터,37.5605949,127.0800297,1,0.0,1.0
서울시 중곡2동 주민센터,37.5602505,127.0814843,1,0.0,1.0
서울시 중곡4동 주민센터,37.5590962,127.0894263,1,0.0,1.0
서울시 화양동 주민센터,37.5465432,127.0713406,1,0.0,1.0
서울시광장11차현대홈타운,37.5433453,127.0972919,1,0.0,1.0
서울시광진문화예술회관 및 구의회청사,37.5375194,127.0706501,5,0.0,5.0
서울시국립정신건강센터,37.564971,127.0856469,10,0.0,10.0
서울시린나이 광진구 대리점 건물,37.5440106,127.0851259,1,0.0,1.0
서울시소망아트빌,37.5446184,127.0664133,1,0.0,1.0
서울시영풍아트빌,37.5291806,127.0810054,1,0.0,1.0
서울시이엠와이,37.5500494,127.100068,1,0.0,1.0
서울시중곡문화체육센터,37.5677309999999,127.0847646,3,0.0,3.0
서울시카페스테이,37.5326459,127.0832388,1,0.0,1.0
서울시한국천주교 중앙협의회,37.5602256,127.0788952,1,0.0,1.0
서울시해오름빌,37.5327451,127.0864934,1,0.0,1.0
서울시행복한교회,37.5295773,127.0824056,2,0.0,2.0
서울시현대팰리스,37.5432515,127.0886389,1,0.0,1.0
서울어린이대공원,37.549363,127.0818126,12,0.0,12.0
성동강변파크빌,37.5378380999999,127.0927807,1,0.0,1.0
솔라빌리지,37.5504967,127.0946519,1,0.0,1.0
신동아파밀리에아파트 입주자대표회의(광진구),37.546935,127.1048339,5,0.0,5.0
신용보증기금 (광진),37.5446539,127.0872424,3,0.0,3.0
신흥운수,37.53029,127.0745025,8,8.0,0.0
씨엔씨빌딩,37.5441785,127.0914313,1,0.0,1.0
어린이대공원 구의문 주차장 복합충전소,37.5505785,127.0817378,6,6.0,0.0
어린이대공원 후문주차장,37.549363,127.0818126,1,1.0,0.0
어린이대공원 후문주차장,37.5522402,127.0857828,1,1.0,0.0
우방리버파크,37.5311425,127.070548,1,0.0,1.0
워커힐리버힐,37.5497388,127.1096866,1,0.0,1.0
월성운수(운수사 전용),37.5689252,127.0795151,4,4.0,0.0
이튼타워리버2차,37.5354569,127.0691282,1,0.0,1.0
이튼타워리버5차아파트,37.532549,127.0688695,5,0.0,5.0
일성파크아파트,37.5513161,127.0725996,2,0.0,2.0
자양 호반써밋아파트 (완속충전기),37.5374709,127.0688794,15,0.0,15.0
자양10차현대홈타운,37.5334492,127.0704997,7,0.0,7.0
자양2동 유수지 주차장,37.5293839,127.0775297,1,1.0,0.0
자양2동유수지 공영주차장,37.5293839,127.0775297,2,2.0,0.0
자양4동 공영주차장,37.5386765,127.0681859,4,2.0,2.0
자양7차현대홈타운,37.5329775,127.0697684,2,0.0,2.0
자양7차현대홈타운아파트,37.5322934,127.0698044,7,0.0,7.0
자양8차현대홈타운,37.5335961,127.071878,2,0.0,2.0
자양금강KCC 아파트,37.5376403,127.0743509,2,0.0,2.0
자양대동아파트,37.5364845,127.0683505,2,0.0,2.0
자양동구의현대홈시티,37.5374247,127.0830692,1,0.0,1.0
자양래미안프리미어팰리스,37.5377045,127.0815286,8,0.0,8.0
자양우성1차아파트 앞 전기차 충전소,37.5337201,127.0756116,1,1.0,0.0
자양한양아파트 앞 전기차 충전소,37.5314438,127.091001,1,1.0,0.0
자양현대5차아파트,37.5286006,127.0782817,3,0.0,3.0
장로회신학대학교,37.5501984,127.1037288,2,2.0,0.0
제일주택 (저압수용가),37.5626324,127.0836698,1,0.0,1.0
주성힐스톤아파트,37.5438271,127.090921,4,0.0,4.0
중곡3동 마을공원 공영주차장,37.5700986,127.0847949,4,2.0,2.0
중곡성원아파트,37.5711837,127.0796173,2,0.0,2.0
