,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
156,806,2010,208253.585523172,449018.165377999,208353.585523172,448918.165377999,2,5,0,3,4,0,0,8,6,0.0,0.0,678.55,1,366.73,0,0,8,0,0,0,0.619047619047619,0.380952380952381,0.666666666666667,0.333333333333333,0.366393405,1,0,0,51.0,0,0,0,0,0,0,0.173765756302521,0.08052464,0.0004420946729651,0.000276361526318,0.23,0.0970017701593956,1,0,FP,4사분면
159,816,2016,208253.585523172,448418.165377999,208353.585523172,448318.165377999,2,0,0,3,7,0,0,15,2,0.0,0.0,0.0,0,4551.34,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,323.0,0,0,0,0,0,0,0.2198483212729536,0.08186314,0.0024206597030418,1.7835181970437692e-05,0.23,0.1068299917415915,1,0,FP,1사분면
162,848,1942,208153.585523172,450018.165377999,208253.585523172,449918.165377999,0,0,0,3,7,0,0,0,6,137.408602150538,198.215053763441,851.7,0,389.29,2,0,23,16,9,17,0.483516483516484,0.516483516483516,0.486486486486487,0.513513513513513,1.587704755,0,0,0,228.0,0,0,0,0,0,0,0.208821046417111,0.048881773,0.0001605009262799,1.229254422750238e-06,0.17,0.0855729099006803,1,0,FP,2사분면
170,871,1953,208153.585523172,448918.165377999,208253.585523172,448818.165377999,3,2,2,8,4,0,1,10,16,75.258064516129,169.741935483871,393.02,4,187.61,3,54,35,29,81,35,0.534090909090909,0.465909090909091,0.525345622119816,0.474654377880184,4.60608852,0,0,0,0.0,0,0,0,0,0,0,0.2455038803069366,0.20202596,0.0453809470172071,0.0004799049730593,0.32,0.1626781394306701,1,0,FP,4사분면
171,877,1960,208153.585523172,448218.165377999,208253.585523172,448118.165377999,0,2,0,8,8,0,0,2,1,0.0,0.0,2105.0,0,865.9,0,0,0,0,0,0,0.75,0.25,0.0,1.0,0.13957844,0,0,0,0.0,0,0,0,0,0,0,0.2707261029411765,0.109026685,0.1956975235667354,3.929318535450411e-05,0.32,0.179097921010072,1,0,FP,1사분면
174,908,1884,208053.585523172,450018.165377999,208153.585523172,449918.165377999,1,1,0,1,5,0,0,2,15,0.0,0.0,446.45,8,177.72,4,22,40,28,23,27,0.5,0.5,0.503496503496504,0.496503496503497,3.31498795,0,0,0,102.0,0,0,0,0,0,0,0.1515728079762366,0.056417517,0.03435063254535,0.0093792463910916,0.15,0.0803440408553406,1,0,FP,2사분면
179,924,1900,208053.585523172,448418.165377999,208153.585523172,448318.165377999,2,2,3,5,8,0,3,9,3,204.903225806452,29.4516129032258,1056.0,0,449.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,271.0,0,0,0,0,0,0,0.1835828081232493,0.029656298,0.0003246579865227,2.833497600215882e-09,0.22,0.0867127534803691,1,0,FP,1사분면
197,1018,1766,207853.585523172,450218.165377999,207953.585523172,450118.165377999,2,7,2,5,7,0,2,10,14,0.0,0.0,401.65,10,173.53,1,16,11,7,21,26,0.495238095238095,0.504761904761905,0.527027027027027,0.472972972972973,1.831967025,4,0,0,38.0,0,0,0,0,0,0,0.2002910539215686,0.07076126,0.0086858817052413,1.0039575018849886e-05,0.18,0.0919496477144685,1,0,FP,2사분면
198,1021,1765,207853.585523172,450318.165377999,207953.585523172,450218.165377999,0,1,0,0,2,0,0,0,2,0.0,0.0,1671.45,0,647.83,0,0,15,13,12,9,0.409090909090909,0.590909090909091,0.39344262295082,0.60655737704918,1.15152213,2,0,0,137.0,0,0,0,0,0,0,0.1531578256302521,0.08319385,0.4979682060788833,3.710097481898705e-07,0.2,0.1868640512432777,1,0,FP,4사분면
208,1064,1672,207653.585523172,448018.165377999,207753.585523172,447918.165377999,0,0,0,1,2,0,0,2,33,0.0,0.0,177.58,21,84.57,11,45,40,24,54,39,0.551181102362205,0.448818897637795,0.590425531914894,0.409574468085106,4.43161547,0,0,0,0.0,0,0,0,0,0,0,0.1200363270308123,0.0077697583,0.0005834624773584,2.586597213704751e-07,0.06,0.0376779613030628,1,0,FP,3사분면
210,1078,1703,207753.585523172,450718.165377999,207853.585523172,450618.165377999,0,0,0,1,2,3,1,1,27,0.0,0.0,308.57,14,124.94,3,32,31,27,42,25,0.495192307692308,0.504807692307692,0.48993288590604,0.51006711409396,3.62903944,1,0,0,22.0,0,0,0,0,0,0,0.1473441546305957,0.06117936,0.1610819681140787,0.035509519587265,0.13,0.1070230001688205,1,0,FP,3사분면
211,1079,1700,207753.585523172,451018.165377999,207853.585523172,450918.165377999,1,0,0,3,39,0,1,13,23,411.354838709677,250.752688172043,476.41,9,156.25,2,17,17,13,9,8,0.473684210526316,0.526315789473684,0.484375,0.515625,1.657493975,6,0,0,90.0,0,0,0,0,0,0,0.1534007352941176,0.030814825,0.0002504819211355,2.7895881040928383e-09,0.15,0.0668932089261382,1,0,FP,2사분면
212,1080,1701,207753.585523172,450918.165377999,207853.585523172,450818.165377999,4,0,2,12,13,0,1,15,23,51.4838709677419,180.0,421.51,11,131.08,4,40,37,15,33,25,0.489010989010989,0.510989010989011,0.496296296296296,0.503703703703704,3.17540951,3,0,0,262.0,0,0,0,0,0,0,0.1895344596171801,0.097660154,0.0294519662509418,2.2570452902890576e-08,0.2,0.1033293205085615,1,0,FP,1사분면
213,1087,1708,207753.585523172,450218.165377999,207853.585523172,450118.165377999,0,1,0,2,2,0,0,0,7,0.0,0.0,590.63,1,230.4,5,11,18,14,26,18,0.388888888888889,0.611111111111111,0.369047619047619,0.630952380952381,1.57025745,0,0,0,60.0,0,0,0,0,0,0,0.137033949246167,0.051748943,0.0183382416722739,0.0009120864593915,0.08,0.0576066439923263,1,0,FP,3사분면
214,1092,1705,207753.585523172,450518.165377999,207853.585523172,450418.165377999,2,0,0,1,6,0,0,3,5,0.0,0.0,317.7,0,191.07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0,127.0,0,0,0,0,0,0,0.1690966349463514,0.08106041,0.0061266636175814,0.00107226705745,0.16,0.0834711950334562,1,0,FP,2사분면
216,1110,1607,207553.585523172,448718.165377999,207653.585523172,448618.165377999,1,0,0,3,10,2,0,24,15,0.0,0.0,357.85,4,181.21,0,20,14,7,18,17,0.662790697674419,0.337209302325581,0.638888888888889,0.361111111111111,1.50046823,1,0,0,27.0,0,0,0,0,0,0,0.2160447303921568,0.07887827,0.0174108170605633,4.702392378296623e-05,0.18,0.0984761679952026,1,0,FP,2사분면
218,1117,1614,207553.585523172,448018.165377999,207653.585523172,447918.165377999,0,1,0,6,5,0,1,4,4,0.0,0.0,1349.4,1,197.96,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.191920355,1,0,0,31.0,0,0,0,0,0,0,0.2818080357142857,0.06266694,0.0034394861990905,1.157320363832851e-05,0.29,0.1275852065651738,1,0,FP,1사분면
219,1120,1613,207553.585523172,448118.165377999,207653.585523172,448018.165377999,0,1,3,2,6,0,0,3,23,98.1532258064516,147.987903225806,376.84,10,169.55,4,37,39,19,38,36,0.52112676056338,0.47887323943662,0.515923566878981,0.484076433121019,3.716275965,8,1,0,0.0,0,0,0,0,0,0,0.2784209381216255,0.2226787,0.0852124569969794,1.5406949022185565e-05,0.25,0.1672655016235092,1,0,FP,1사분면
