XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),평균 P(y=1)의 확률,prediction_0.22,actual,confusion
0.0009721466,1.7553547550479163e-05,0.36329078130398895,0.12142682714244807,0,0,TN
0.006244161,4.008945047795383e-06,0.6185618091761172,0.20826999309580527,0,0,TN
0.28208888,0.02801216528449927,0.7020877863067848,0.3373962757872843,1,0,FP
0.034183677,1.2161701335178898e-05,0.14789759744506692,0.06069781214410391,0,0,TN
0.012672441,0.007783796226908724,0.37258270178364034,0.13101297969692055,0,0,TN
0.0003373763,5.731495698864768e-09,0.11618964844688089,0.038842343488915916,0,0,TN
0.000103700426,8.6323496658722e-11,0.12083748070621776,0.040313727072788776,0,0,TN
0.7213997,0.994072390155624,0.8361369315945937,0.8505363487445692,1,0,FP
0.2304508,0.6165249322860116,0.7489085572057019,0.5319614278641583,1,0,FP
0.74330366,0.3596844178606962,0.3174472525994641,0.4734784423460747,1,0,FP
0.36512503,0.9885793724268407,0.4201035405966345,0.5912693144342115,1,0,FP
0.002529015,1.215087184825158e-06,0.33621454630697123,0.11291492548675273,0,0,TN
0.0816384,0.00035702671029099543,0.6497240690868461,0.24390649967800104,1,0,FP
0.05217933,0.0023377315631552954,0.32798275517122877,0.12749993861055167,0,0,TN
0.036721304,0.0005957325605233306,0.4037730475024104,0.1470300280406541,0,0,TN
0.00027512352,1.4549325840780123e-07,0.05963518959027815,0.0199701528662343,0,0,TN
0.0014504471,1.1116418687526098e-05,0.0809339976635492,0.027465187071682554,0,0,TN
0.0023175857,3.4549136313429346e-05,0.15321862369374575,0.05185691952653695,0,0,TN
0.00020048795,1.413431177121835e-07,0.1098329079258202,0.036677845739568976,0,0,TN
0.008010099,0.0007646916727236548,0.1318407244742673,0.04687183828588238,0,0,TN
0.0011334037,4.795393817617997e-06,0.14406970817883002,0.04840263577115697,0,0,TN
0.013878702,0.001273782422820924,0.13106238790716937,0.04873829083867944,0,0,TN
0.0008835075,1.0728679603987183e-06,0.04369785544067835,0.01486081193091441,0,0,TN
0.038997304,0.011323959522882876,0.4572821547604909,0.16920113932595346,0,0,TN
0.14933595,0.0005449597222108003,0.2758834080275797,0.1419214394542708,0,0,TN
0.09630179,0.022320664975339796,0.3116663573064894,0.1434296029611242,0,0,TN
0.055582706,0.000284981251575565,0.13072807308646228,0.06219858674106991,0,0,TN
0.0046725655,2.7286169953597183e-06,0.25715954910439287,0.08727828107294873,0,0,TN
0.14380312,0.03918294468760751,0.4432106691707302,0.20873224450592054,0,1,FN
0.0017426667,1.3700009875362842e-05,0.32596919794567913,0.10924185488640113,0,0,TN
0.1839588,0.048062495962539094,0.37893271483190943,0.2036513364804585,0,0,TN
0.012386222,3.545511639616989e-07,0.16146344668316204,0.05795000786809829,0,0,TN
0.8169526,0.907521344471667,0.4059529054068748,0.7101422786841843,1,0,FP
0.050082307,0.046474794633945896,0.11062843010722444,0.0690618440166942,0,0,TN
0.0006315952,2.0592732223175518e-08,0.341491302345481,0.11404097271442105,0,0,TN
0.009036611,0.01319483415659978,0.6239466735137751,0.21539270616822515,0,0,TN
0.0018187645,1.016265247752438e-05,0.2081790104074741,0.07000264584969858,0,0,TN
0.21069387,0.0015252692217069905,0.6175601051489247,0.27659308012837075,1,0,FP
0.0069788215,3.09395515699261e-08,0.17619569624905415,0.06105818288788817,0,0,TN
0.29421404,0.442475452014347,0.7422255679583644,0.4929716866712271,1,1,TP
0.0030165338,7.54142773539603e-08,0.19727261066248514,0.06676307329083556,0,0,TN
0.88794565,0.7323654137126065,0.45805829029847106,0.6927897853397114,1,1,TP
0.003099716,8.387787264649648e-06,0.19769022953806845,0.0669327777869941,0,0,TN
0.7343059,0.14673101312486653,0.5115902445821644,0.46420905864124534,1,0,FP
0.03583631,0.0003094834454521873,0.5262716945456871,0.18747249572856806,0,0,TN
0.51763964,0.13523957530239908,0.687220265290696,0.4466998258621677,1,0,FP
0.00502156,0.00034818077898454345,0.13936575289901337,0.04824516456128052,0,0,TN
0.027839545,0.0010432709785910144,0.3697407623716004,0.13287452617024115,0,0,TN
0.0049909432,4.533017566458674e-05,0.028364067907496168,0.011133447108341734,0,0,TN
0.0068779835,0.0003188344174233618,0.1557180170237982,0.054304944965278816,0,0,TN
0.0002038518,8.319119803096166e-07,0.09943569168753234,0.033213458466369895,0,0,TN
0.0027246147,1.3104730558445053e-05,0.05101864061584479,0.017918786679751712,0,0,TN
0.0026754567,0.0001737583144648105,0.3570486187833924,0.11996594459708439,0,0,TN
0.005593881,6.506868807425795e-08,0.556738257538883,0.18744406787286008,0,0,TN
0.0005049223,5.748037818717256e-07,0.12168818582867179,0.04073122764294663,0,0,TN
0.8142346,0.8132305197416889,0.7663230618749832,0.7979293986629751,1,0,FP
0.0028405883,2.6323027590886455e-06,0.0636437420498158,0.0221623208958409,0,0,TN
0.000102254504,2.9966545892007503e-09,0.2741289618164196,0.09141040643898214,0,0,TN
0.003997923,2.5984054532471144e-06,0.08474721044730206,0.029582577242580812,0,0,TN
0.005782908,5.4331544523612634e-05,0.45295919166162785,0.15293214367828004,0,0,TN
0.00043378468,1.3820600513829728e-05,0.3310278695099171,0.11049182492904887,0,0,TN
0.0014925721,0.00010218365824420496,0.2641742812984469,0.08858967903004016,0,0,TN
0.113568164,0.8029083442156453,0.35499792152132187,0.4238248100483914,1,1,TP
0.00864004,0.00030571846729457355,0.2044623233174078,0.071136027165631,0,0,TN
0.022947587,0.00015673376768901142,0.12662008003264347,0.04990813362439392,0,0,TN
0.050170716,0.00025497790965949566,0.4439671634806306,0.16479761909618848,0,1,FN
0.40171555,0.9568964715548922,0.31033071922381145,0.5563142458750311,1,0,FP
0.05404158,0.0041263058989393095,0.11970917400073203,0.059292353088467205,0,0,TN
0.09807863,0.004090136086518447,0.37846761195856204,0.16021212630323356,0,0,TN
0.072964914,0.0012432864066070015,0.1043503209364343,0.05951950716204226,0,1,FN
0.0011394226,1.5330499560969335e-07,0.2149996694095772,0.07204641512012173,0,0,TN
0.9224567,0.9887513949409553,0.8053640408132213,0.9055240391608465,1,0,FP
0.009687598,0.006069052931843943,0.17530905469876423,0.06368856849799477,0,0,TN
0.018784339,5.562101520051391e-05,0.3862189469409493,0.13501963552151133,0,0,TN
0.828563,0.9839942837514335,0.7639021100001402,0.858819789560461,1,1,TP
